Symbol,Short Name,Ticker
MMM,3M,MMM
AOS,A. O. Smith,AOS
ABT,Abbott,ABT
ABBV,AbbVie,ABBV
ACN,Accenture,ACN
ATVI,Activision Blizzard,ATVI
ADM,ADM,ADM
ADBE,Adobe Inc.,ADBE
ADP,ADP,ADP
AAP,Advance Auto Parts,AAP
AES,AES Corporation,AES
AFL,Aflac,AFL
A,Agilent Technologies,A
APD,Air Products and Chemicals,APD
AKAM,Akamai,AKAM
ALK,Alaska Air Group,ALK
ALB,Albemarle Corporation,ALB
ARE,Alexandria Real Estate Equities,ARE
ALGN,Align Technology,ALGN
ALLE,Allegion,ALLE
LNT,Alliant Energy,LNT
ALL,Allstate,ALL
GOOGL,Alphabet Inc. (Class A),GOOGL
GOOG,Alphabet Inc. (Class C),GOOG
MO,Altria,MO
AMZN,Amazon,AMZN
AMCR,Amcor,AMCR
AMD,AMD,AMD
AEE,Ameren,AEE
AAL,American Airlines Group,AAL
AEP,American Electric Power,AEP
AXP,American Express,AXP
AIG,American International Group,AIG
AMT,American Tower,AMT
AWK,American Water Works,AWK
AMP,Ameriprise Financial,AMP
ABC,AmerisourceBergen,ABC
AME,Ametek,AME
AMGN,Amgen,AMGN
APH,Amphenol,APH
ADI,Analog Devices,ADI
ANSS,Ansys,ANSS
AON,Aon,AON
APA,APA Corporation,APA
AAPL,Apple Inc.,AAPL
AMAT,Applied Materials,AMAT
APTV,Aptiv,APTV
ACGL,Arch Capital Group,ACGL
ANET,Arista Networks,ANET
AJG,Arthur J. Gallagher & Co.,AJG
AIZ,Assurant,AIZ
T,AT&T,T
ATO,Atmos Energy,ATO
ADSK,Autodesk,ADSK
AZO,AutoZone,AZO
AVB,AvalonBay Communities,AVB
AVY,Avery Dennison,AVY
AXON,Axon Enterprise,AXON
BKR,Baker Hughes,BKR
BALL,Ball Corporation,BALL
BAC,Bank of America,BAC
BBWI,"Bath & Body Works, Inc.",BBWI
BAX,Baxter International,BAX
BDX,Becton Dickinson,BDX
WRB,Berkley,WRB
BRK.B,Berkshire Hathaway,BRK.B
BBY,Best Buy,BBY
BIO,Bio-Rad,BIO
TECH,Bio-Techne,TECH
BIIB,Biogen,BIIB
BLK,BlackRock,BLK
BK,BNY Mellon,BK
BA,Boeing,BA
BKNG,Booking Holdings,BKNG
BWA,BorgWarner,BWA
BXP,Boston Properties,BXP
BSX,Boston Scientific,BSX
BMY,Bristol Myers Squibb,BMY
AVGO,Broadcom Inc.,AVGO
BR,Broadridge Financial Solutions,BR
BRO,Brown & Brown,BRO
BF.B,Brown–Forman,BF.B
BG,Bunge Limited,BG
CHRW,C.H. Robinson,CHRW
CDNS,Cadence Design Systems,CDNS
CZR,Caesars Entertainment,CZR
CPT,Camden Property Trust,CPT
CPB,Campbell Soup Company,CPB
COF,Capital One,COF
CAH,Cardinal Health,CAH
KMX,CarMax,KMX
CCL,Carnival,CCL
CARR,Carrier Global,CARR
CTLT,Catalent,CTLT
CAT,Caterpillar Inc.,CAT
CBOE,Cboe Global Markets,CBOE
CBRE,CBRE Group,CBRE
CDW,CDW,CDW
CE,Celanese,CE
CNC,Centene Corporation,CNC
CNP,CenterPoint Energy,CNP
CDAY,Ceridian,CDAY
CF,CF Industries,CF
CRL,Charles River Laboratories,CRL
SCHW,Charles Schwab Corporation,SCHW
CHTR,Charter Communications,CHTR
CVX,Chevron Corporation,CVX
CMG,Chipotle Mexican Grill,CMG
CB,Chubb Limited,CB
CHD,Church & Dwight,CHD
CI,Cigna,CI
CINF,Cincinnati Financial,CINF
CTAS,Cintas,CTAS
CSCO,Cisco,CSCO
C,Citigroup,C
CFG,Citizens Financial Group,CFG
CLX,Clorox,CLX
CME,CME Group,CME
CMS,CMS Energy,CMS
KO,Coca-Cola Company (The),KO
CTSH,Cognizant,CTSH
CL,Colgate-Palmolive,CL
CMCSA,Comcast,CMCSA
CMA,Comerica,CMA
CAG,Conagra Brands,CAG
COP,ConocoPhillips,COP
ED,Consolidated Edison,ED
STZ,Constellation Brands,STZ
CEG,Constellation Energy,CEG
COO,CooperCompanies,COO
CPRT,Copart,CPRT
GLW,Corning Inc.,GLW
CTVA,Corteva,CTVA
CSGP,CoStar Group,CSGP
COST,Costco,COST
CTRA,Coterra,CTRA
CCI,Crown Castle,CCI
CSX,CSX,CSX
CMI,Cummins,CMI
CVS,CVS Health,CVS
DHI,D.R. Horton,DHI
DHR,Danaher Corporation,DHR
DRI,Darden Restaurants,DRI
DVA,DaVita Inc.,DVA
DE,John Deere,DE
DAL,Delta Air Lines,DAL
XRAY,Dentsply Sirona,XRAY
DVN,Devon Energy,DVN
DXCM,Dexcom,DXCM
FANG,Diamondback Energy,FANG
DLR,Digital Realty,DLR
DFS,Discover Financial,DFS
DIS,Disney,DIS
DG,Dollar General,DG
DLTR,Dollar Tree,DLTR
D,Dominion Energy,D
DPZ,Domino's,DPZ
DOV,Dover Corporation,DOV
DOW,Dow Inc.,DOW
DTE,DTE Energy,DTE
DUK,Duke Energy,DUK
DD,DuPont,DD
DXC,DXC Technology,DXC
