Ticker,Name,Symbol
TSM,Taiwan Semiconductor,TSM
INTC,Intel,INTC
NVDA,NVIDIA,NVDA
AMD,Advanced Micro Devices,AMD
QCOM,Qualcomm Incorporated,QCOM
AVGO,Broadcom Inc.,AVGO
TXN,Texas Instruments,TXN
MU,Micron Technology,MU
AMAT,Applied Materials,AMAT
NXPI,NXP Semiconductor,NXPI
ASML,ASML Holding,ASML
LRCX,Lam Research Corporation,LRCX
WDC,Western Digital Corporation,WDC
KLAC,KLA Corporation,KLAC
MDTKF,MediaTek Inc.,MDTKF
IFNNY,Infineon Technologies AG,IFNNY
MCHP,Microchip Technology Incorporated,MCHP
,,
